A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
CDKN2A	DNMT3A	88	1	29	1	1.601	0.442	1.000	Co-occurrence
DNMT3A	U2AF1	88	29	1	1	1.601	0.442	1.000	Co-occurrence
IDH2	TP53	102	12	4	1	1.087	0.445	1.000	Co-occurrence
STAG2	TET2	95	2	21	1	1.178	0.462	1.000	Co-occurrence
BCOR	TET2	95	2	21	1	1.178	0.462	1.000	Co-occurrence
CSF1R	TET2	95	2	21	1	1.178	0.462	1.000	Co-occurrence
BCORL1	TET2	95	2	21	1	1.178	0.462	1.000	Co-occurrence
RUNX1	TET2	94	3	21	1	0.577	0.564	1.000	Co-occurrence
DNMT3A	STAG2	86	30	3	0	<-3	0.571	1.000	Mutual exclusivity
BCORL1	DNMT3A	86	3	30	0	<-3	0.571	1.000	Mutual exclusivity
TET2	TP53	92	22	5	0	<-3	0.583	1.000	Mutual exclusivity
FLT3	IDH2	97	9	13	0	<-3	0.595	1.000	Mutual exclusivity
ASXL1	FLT3	95	15	9	0	<-3	0.601	1.000	Mutual exclusivity
DNMT3A	IDH2	80	26	9	4	0.452	0.736	1.000	Co-occurrence
MYC	TP53	112	2	5	0	<-3	1.000	1.000	Mutual exclusivity
NRAS	TP53	112	2	5	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	TP53	112	2	5	0	<-3	1.000	1.000	Mutual exclusivity
TP53	U2AF1	112	5	2	0	<-3	1.000	1.000	Mutual exclusivity
chr8gain	TP53	112	2	5	0	<-3	1.000	1.000	Mutual exclusivity
ATM	NPM1	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
NPM1	RUNX1	113	2	4	0	<-3	1.000	1.000	Mutual exclusivity
ATM	ZRSR2	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	ZRSR2	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
ATM	MYC	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
MYC	RUNX1	113	2	4	0	<-3	1.000	1.000	Mutual exclusivity
ATM	NRAS	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
NRAS	RUNX1	113	2	4	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	RUNX1	113	2	4	0	<-3	1.000	1.000	Mutual exclusivity
ATM	U2AF1	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	U2AF1	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
ATM	NF1	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
NF1	RUNX1	113	2	4	0	<-3	1.000	1.000	Mutual exclusivity
ATM	chr8gain	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	STAG2	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
NPM1	STAG2	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	ZRSR2	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
MYC	STAG2	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	MYC	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	MYC	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
NRAS	STAG2	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	NRAS	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	NRAS	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	STAG2	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	CDKN2A	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	CSF1R	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	CDKN2A	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	U2AF1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	U2AF1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	U2AF1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	U2AF1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
NF1	STAG2	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	NF1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	NF1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	NF1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	chr8gain	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
chr8gain	CSF1R	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	chr8gain	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	SRSF2	109	1	9	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	FLT3	109	1	9	0	<-3	1.000	1.000	Mutual exclusivity
FLT3	SF3B1	109	9	1	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	FLT3	109	1	9	0	<-3	1.000	1.000	Mutual exclusivity
FLT3	MYD88	109	9	1	0	<-3	1.000	1.000	Mutual exclusivity
FLT3	SETBP1	109	9	1	0	<-3	1.000	1.000	Mutual exclusivity
FLT3	NOTCH1	109	9	1	0	<-3	1.000	1.000	Mutual exclusivity
ATM	IDH1	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
ATM	JAK2	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
ATM	CBL	113	4	2	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	RUNX1	113	2	4	0	<-3	1.000	1.000	Mutual exclusivity
JAK2	RUNX1	113	2	4	0	<-3	1.000	1.000	Mutual exclusivity
CBL	RUNX1	113	2	4	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	RUNX1	113	2	4	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	TET2	95	2	22	0	<-3	1.000	1.000	Mutual exclusivity
TET2	ZRSR2	95	22	2	0	<-3	1.000	1.000	Mutual exclusivity
MYC	TET2	95	2	22	0	<-3	1.000	1.000	Mutual exclusivity
NRAS	TET2	95	2	22	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	TET2	95	2	22	0	<-3	1.000	1.000	Mutual exclusivity
NF1	TET2	95	2	22	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	TP53	111	3	5	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	TP53	111	3	5	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	TP53	111	3	5	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	SRSF2	107	3	9	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	FLT3	107	3	9	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	SRSF2	107	3	9	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	FLT3	107	3	9	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	STAG2	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
JAK2	STAG2	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	IDH1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	JAK2	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	CBL	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	MYCN	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	NPM1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	ZRSR2	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	IDH1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	JAK2	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CBL	CSF1R	114	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	MYCN	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	NPM1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	ZRSR2	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	IDH1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	JAK2	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	CBL	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	MYCN	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	NPM1	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	ZRSR2	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	NRAS	114	3	2	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
SF3B1	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH1	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
RAD21	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
EZH2	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
PHF6	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
TP53	WT1	113	5	1	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
MPL	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
SF1	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
chr17loss	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
inv(16)	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
t(11;19)	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
t(8;21)	TP53	113	1	5	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	IDH2	104	2	13	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	JAK2	104	13	2	0	<-3	1.000	1.000	Mutual exclusivity
CBL	IDH2	104	2	13	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	MYCN	104	13	2	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	ZRSR2	104	13	2	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	MYC	104	13	2	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	IDH2	104	2	13	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	U2AF1	104	13	2	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
SF3B1	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH1	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	CDH2	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	SF3B1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	BIRC3	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	MYD88	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	SETBP1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	NOTCH1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	CSF1R	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	SF3B1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	CSF1R	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	MYD88	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	SETBP1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	NOTCH1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
RAD21	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	RAD21	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	BCOR	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	CSF1R	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
EZH2	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	EZH2	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	EZH2	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
PHF6	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	PHF6	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	PHF6	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	MAP2K1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	MAP2K1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	WT1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	WT1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	WT1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	BRINP3	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	CSF1R	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	CDH2	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	SF3B1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	BIRC3	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	MYD88	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	SETBP1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	NOTCH1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	RAD21	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	BCORL1	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	EZH2	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	PHF6	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	MAP2K1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	WT1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	BRINP3	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	PRPF40B	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	PRPF40B	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	PRPF40B	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	MPL	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	MPL	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	MPL	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	SMC1A	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	SMC1A	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	SMC1A	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	KRAS	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	KRAS	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	KRAS	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	FBXW7	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	FBXW7	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	FBXW7	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	IL7R	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	IL7R	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	IL7R	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
SF1	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	SF1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	SF1	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
chr17loss	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	chr17loss	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
chr17loss	CSF1R	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	chr17loss	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
inv(16)	STAG2	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	inv(16)	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	inv(16)	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	t(11;19)	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	t(11;19)	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	t(11;19)	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	t(11;19)	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	t(8;21)	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	t(8;21)	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	t(8;21)	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	chr5qdel	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
chr5qdel	CSF1R	115	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	chr5qdel	115	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	IDH2	105	1	13	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	SF3B1	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	SETBP1	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	NOTCH1	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	RAD21	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	IDH2	105	1	13	0	<-3	1.000	1.000	Mutual exclusivity
EZH2	IDH2	105	1	13	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	PHF6	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	MAP2K1	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	WT1	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	IDH2	105	1	13	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	PRPF40B	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	SMC1A	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	KRAS	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	IDH2	105	1	13	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	IL7R	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	SF1	105	13	1	0	<-3	1.000	1.000	Mutual exclusivity
